winner,loser,winner_score,loser_score,date,duration,clan_battle
1475,716,18,-39,2020-11-17,03:52:00,77
193,388,20,-17,2019-07-09,00:47:00,
1167,195,22,-29,2021-07-27,05:41:00,
1203,284,15,-17,2019-06-14,01:02:00,77
891,185,16,-40,2021-01-10,07:30:00,
561,1760,29,-16,2020-10-10,01:15:00,149
621,1242,14,-27,2021-10-15,00:45:00,
583,1525,12,-19,2018-06-29,03:04:00,
732,1609,30,-45,2018-03-29,03:10:00,29
1860,1231,37,-22,2020-10-12,04:15:00,
1747,1062,26,-18,2021-07-30,00:44:00,
1246,734,29,-5,2019-01-11,03:43:00,
1174,1493,11,-15,2020-03-05,01:59:00,
453,555,23,-42,2019-03-18,07:50:00,
302,1581,34,-11,2021-09-30,04:40:00,
134,996,20,-8,2018-05-06,04:05:00,
303,1508,44,-25,2019-02-15,03:26:00,
417,1167,27,-9,2020-10-20,00:47:00,
1703,1629,40,-35,2020-09-18,06:17:00,
2011,1910,27,-34,2021-06-04,07:43:00,
344,174,27,-14,2021-07-17,02:32:00,
730,1491,17,-20,2020-02-28,00:45:00,
324,542,22,-31,2021-08-22,06:55:00,
140,1932,42,-40,2021-01-14,07:03:00,
482,1626,16,-30,2021-03-31,06:56:00,
868,714,16,-12,2020-07-14,06:57:00,146
243,945,27,-35,2020-03-06,02:42:00,
329,935,19,-28,2018-04-30,07:43:00,
1604,252,23,-36,2021-02-05,07:53:00,102
1666,226,39,-10,2018-03-16,06:57:00,
1049,1695,17,-43,2020-04-15,02:25:00,
1990,854,11,-23,2019-05-01,04:59:00,
1224,308,28,-6,2018-02-15,00:50:00,
296,594,12,-33,2018-10-14,01:58:00,
1282,1369,22,-45,2020-12-24,06:36:00,
549,1471,14,-26,2021-04-14,06:03:00,
1505,1023,24,-15,2021-08-15,06:10:00,
1495,996,45,-32,2021-06-08,02:39:00,
1470,1689,29,-41,2018-07-21,04:15:00,
1490,1241,29,-10,2020-04-20,05:00:00,
823,1158,45,-32,2020-02-21,07:44:00,4
1008,1241,26,-39,2018-11-02,07:35:00,
1968,294,39,-21,2018-06-18,04:58:00,138
118,332,25,-32,2019-02-08,01:57:00,
1422,1115,33,-32,2019-11-19,00:25:00,
1510,1515,38,-24,2021-03-02,03:19:00,
1962,664,34,-34,2018-01-03,04:12:00,
1336,1613,13,-34,2018-02-26,06:46:00,
532,386,20,-21,2019-04-08,07:47:00,78
1789,1070,15,-40,2018-06-04,02:05:00,
1834,1878,31,-10,2019-04-07,03:33:00,
1466,306,42,-38,2020-04-09,00:27:00,
138,1363,34,-18,2019-11-05,05:18:00,
645,1946,19,-13,2018-01-09,02:03:00,
784,1318,17,-13,2021-04-10,05:31:00,
506,1550,22,-35,2020-12-23,00:55:00,157
1606,811,30,-14,2020-01-13,06:31:00,
260,182,19,-38,2020-07-22,02:49:00,
1810,1807,27,-42,2019-06-25,05:24:00,
1169,319,39,-40,2019-03-27,00:11:00,
527,1249,38,-14,2018-02-24,05:17:00,
1115,1872,26,-40,2018-07-29,01:12:00,31
716,1838,45,-39,2019-11-07,03:20:00,98
1985,1648,27,-32,2019-03-20,01:23:00,
756,1106,12,-40,2020-03-02,05:43:00,
1222,171,14,-39,2019-09-15,04:49:00,109
1832,271,23,-10,2018-09-02,03:19:00,
353,1352,41,-35,2020-01-27,02:54:00,
1862,953,38,-9,2020-06-14,05:06:00,
982,990,30,-33,2020-05-17,05:44:00,102
1052,402,25,-29,2018-07-11,07:27:00,
1329,897,13,-43,2019-05-25,06:38:00,
322,981,25,-19,2018-01-11,07:09:00,
167,1971,40,-8,2021-01-01,02:07:00,
1983,1510,10,-40,2021-05-21,06:58:00,51
1369,1766,20,-18,2018-04-08,05:45:00,
1683,487,29,-24,2020-11-03,00:26:00,
