battle,clan,start_date,end_date
1,#VQCQQJP,2021-10-11,2022-06-05
1,#2CQQVQCU,2021-10-11,2022-06-05
1,#L0QPV,2021-10-11,2022-06-05
1,#9G2PVP0R,2021-10-11,2022-06-05
1,#QCJ0J9UP,2021-10-11,2022-06-05
1,#P0LLG9RG,2021-10-11,2022-06-05
2,#L0YJ02YL,2020-01-31,2020-03-05
2,#PJY9PP98,2020-01-31,2020-03-05
2,#L0QPV,2020-01-31,2020-03-05
3,#QCJ0J9UP,2020-10-18,2021-10-04
3,#8YLJ8UL2,2020-10-18,2021-10-04
4,#P0LLG9RG,2020-12-26,2021-01-10
4,#8VUVGPVC,2020-12-26,2021-01-10
4,#PPCLCJG9,2020-12-26,2021-01-10
4,#L0QPV,2020-12-26,2021-01-10
4,#PJY9PP98,2020-12-26,2021-01-10
4,#8YLJ8UL2,2020-12-26,2021-01-10
4,#9G2PVP0R,2020-12-26,2021-01-10
4,#8YQ9LPPV,2020-12-26,2021-01-10
4,#VQCQQJP,2020-12-26,2021-01-10
4,#8LGRYC,2020-12-26,2021-01-10
5,#PJY9PP98,2019-01-09,2019-07-02
5,#QCJ0J9UP,2019-01-09,2019-07-02
5,#28V2QQ9C,2019-01-09,2019-07-02
5,#8YQ9LPPV,2019-01-09,2019-07-02
6,#QCJ0J9UP,2020-07-26,2020-08-05
6,#L0QPV,2020-07-26,2020-08-05
6,#8VUVGPVC,2020-07-26,2020-08-05
6,#9QY9JG09,2020-07-26,2020-08-05
6,#L0YJ02YL,2020-07-26,2020-08-05
6,#PPCLCJG9,2020-07-26,2020-08-05
7,#8VUVGPVC,2020-01-15,2020-09-05
7,#L0QPV,2020-01-15,2020-09-05
8,#8YLJ8UL2,2020-11-15,2021-07-10
8,#L0QPV,2020-11-15,2021-07-10
8,#9QY9JG09,2020-11-15,2021-07-10
8,#PPCLCJG9,2020-11-15,2021-07-10
8,#PJY9PP98,2020-11-15,2021-07-10
8,#2CQQVQCU,2020-11-15,2021-07-10
9,#9LP9VCJ8,2019-08-26,2020-09-03
9,#VQCQQJP,2019-08-26,2020-09-03
10,#9QY9JG09,2021-09-09,2022-07-19
10,#L0QPV,2021-09-09,2022-07-19
10,#8VUVGPVC,2021-09-09,2022-07-19
10,#9GUCJRL0,2021-09-09,2022-07-19
10,#2CQQVQCU,2021-09-09,2022-07-19
11,#L0QPV,2021-08-12,2022-09-11
11,#Y0QR0Y2U,2021-08-12,2022-09-11
11,#28V2QQ9C,2021-08-12,2022-09-11
12,#PV2G9U2L,2018-11-14,2019-02-21
12,#PJY9PP98,2018-11-14,2019-02-21
12,#QCJ0J9UP,2018-11-14,2019-02-21
12,#8LGRYC,2018-11-14,2019-02-21
12,#P0LLG9RG,2018-11-14,2019-02-21
12,#2CQQVQCU,2018-11-14,2019-02-21
12,#L0QPV,2018-11-14,2019-02-21
13,#P0LLG9RG,2021-08-24,2021-12-31
13,#PJY9PP98,2021-08-24,2021-12-31
14,#8LGRYC,2020-05-02,2021-02-14
