id,sender,receiver,text,date,answer
1,#P8CJYJ02,#VC2L0QPU,"I forgot something.,",2021-10-28,247
2,#Y8G9CU2LV,#2V20QJVR,"Memory is not what the heart desires. That is only a mirror,,",2021-01-28,762
3,#9PRP2URC,#Y2LJYGUP,"I look foul and feel fair.,",2020-09-11,
4,#98UVV0,#2YLQ22YQV,"A degenerate, am I? Well, you are a festisio! See? I can make up words too, sister.,",2021-06-16,553
5,#QCJQCJ8G,#LVRUV8YV,"Whoa. Wait a minute, Doc. Are you trying to tell me that my mother has got the hots for me?,",2021-10-01,
6,#Q2CGJ8JQ,#CYRL0RY2,"Wow, Bob, wow.,",2020-10-10,
7,#2LJ82YCVR,#2U2JJ098Q,"No, no, no, no, no, this sucker's electrical, but I need a nuclear reaction to generate the 1.21 gigawatts of electricity I need.,",2020-12-28,902
8,#QCJQCJ8G,#Q28QYVJQ,"I want to go home.,",2020-10-09,
9,#QPQVLYJJ,#VCUYGG8J,"This is all wrong. I don't know what it is. But when I kiss you, it's like I'm kissing... my brother. I guess that doesn't make any sense, does it?,",2021-10-13,420
10,#L2R22CP,#2V9P80RLC,"I look foul and feel fair.,",2021-04-19,
11,#2RUJ929U0,#89PL0YV,"Wait a minute. Wait a minute, Doc. Ah... Are you telling me that you built a time machine... out of a DeLorean?,",2021-02-27,30
12,#98PJJGQJG,#RGP2VC9P,"Sing, all ye children of the West,",2021-02-01,996
13,#2UVUR2YPP,#82UCYLQG,"And so he spoke, and so he spoke, that Lord of Castamere, but now the rains weep o'er his hall, with no one there to hear. Yes, now the rains weep o'er his hall, and not a soul to hear.,",2021-04-28,57
14,#9PYJVPPLV,#2YLCVUYYP,"What happens to us in the future? Do we become assholes or something?,",2020-12-24,746
15,#URL0222L,#2V9LQ2YUG,She's dead... Wrapped in plastic.,2021-06-01,399
16,#GUQV2YCY,#8RRVL8P,"Van Halen!,",2021-09-26,
17,#UCRG8GGL,#9JCVVGU9P,"What are you looking at, butthead?,",2020-08-03,
18,#90UJPLCQQ,#YJ8R2Y9L,There's nothing quite like urinating in the open air.,2021-07-08,791
19,#2RQRQVU08,#29VLJP0UC,"Memory is not what the heart desires. That is only a mirror,,",2021-01-17,452
20,#9PLYCU229,#288CUPUPP,"Whoa. This is heavy.,",2021-10-22,522
