id,sender,receiver,text,date,answer
1,#9YPJY2GU2,#P0LLG9RG,"See you in about 30 years.,",2021-10-14,42
2,#GJ820UYPC,#QCJ0J9UP,"Already know you that which you need.,",2021-07-30,
3,#PCC2V0CV2,#QCJ0J9UP,"No wonder your president has to be an actor. He's gotta look good on television.,",2021-03-19,
4,#2YVQQPQJL,#L0YJ02YL,"Now I may be an idiot, but there’s one thing I am not sir, and that sir, is an idiot.,",2021-08-28,509
5,#GUQV2YCY,#9QY9JG09,"And so he spoke, and so he spoke, that Lord of Castamere, but now the rains weep o'er his hall, with no one there to hear. Yes, now the rains weep o'er his hall, and not a soul to hear.,",2021-09-20,
6,#92JCC8JUC,#8LGRYC,"Lorraine. My density has brought me to you.,",2021-03-25,549
7,#98LLQYJG,#8LGRYC,"Hey, Dad! George! Hey, you on the bike!,",2021-01-06,
8,#2Q8RJGPVV,#Y0QR0Y2U,"A hunted man sometimes wearies of distrust and longs for friendship.,",2021-06-07,
9,#92V2VRCVQ,#PJY9PP98,"No, get out of town. My mom thinks I'm going camping with the guys. Look, Jennifer, my mother would freak out if she knew I was going out with you, and I'd get the standard lecture about how she never did that kind of stuff when she was a kid. I mean, look, I think the woman was born a nun.,",2021-03-04,49
10,#PC99QUQ,#PPCLCJG9,"Now I may be an idiot, but there’s one thing I am not sir, and that sir, is an idiot.,",2020-12-26,114
11,#20P8LJPU9,#8YLJ8UL2,"Okay, I won't.,",2021-12-04,123
12,#22VYU02RR,#9G2PVP0R,"...as young and as ancient as Spring....,",2021-09-22,394
13,#PGY2YV2G,#P0LLG9RG,"I've never seen purple underwear before!,",2021-11-08,
14,#P82YUQ9QY,#PJY9PP98,"Don't worry. As long as you hit that wire with the connecting hook at precisely 88 miles per hour, the instant the lightning strikes the tower... everything will be fine.,",2021-06-28,880
15,#P89RY20Q,#9G2PVP0R,"Real names tell you the story of the things they belong to,",2021-07-14,
16,#P89RY20Q,#QCJ0J9UP,"I don't think they even heard me.,",2021-05-19,
17,#YU9C2UGL,#L0YJ02YL,"How's Annie? How's Annie? How's Annie?,",2021-04-15,858
18,#8L8VV88C,#8VUVGPVC,"Look, you're not gonna be picking a fight, Dad... Dad-Dad-Daddy-O.,",2021-01-12,588
19,#28PQ9GJG9,#9LP9VCJ8,"I love you too, honey. Good luck with your show.,",2020-10-26,
20,#8YVYGCP,#8YLJ8UL2,"Death is a natural part of life. Rejoice for those around you who transform into the Force. Mourn them do not. Miss them do not. Attachment leads to jealously. The shadow of greed, that is.,",2021-05-19,165
21,#YGYU8Y8V,#8VUVGPVC,"A degenerate, am I? Well, you are a festisio! See? I can make up words too, sister.,",2021-05-22,
22,#9PRCYU8U,#8YLJ8UL2,You're late! Do you have no concept of time?,2020-11-07,
23,#UVL9V8RV,#VQCQQJP,"Like fire across the galaxy the Clone Wars spread. In league with the wicked Count Dooku, more and more planets slip. Against this threat, upon the Jedi Knights falls the duty to lead the newly formed army of the Republic. And as the heat of war grows, so, to, grows the prowess of one most gifted student of the Force.,",2020-11-28,718
24,#8PVV28U8,#9G2PVP0R,"I wish the Ring had never come to me. I wish none of this had happened.,",2020-11-07,275
25,#9RR9ULL99,#P0LLG9RG,"Who's President of the United States in 1985? Ronald Reagan? The actor? Ha! Then whose vice president? Jerry Lewis?,",2020-11-15,695
