player,clan,role,date
#QV2PYL,#8LGRYC,elder: They are able to kick members once every 20 minutes and invite or accept players to the Clan but are not able to change the Clan Settings.,2021-09-13
#9Q8UCU0Q0,#8LGRYC,elder: They are able to kick members once every 20 minutes and invite or accept players to the Clan but are not able to change the Clan Settings.,2021-10-12
#8C8QJR9JG,#8LGRYC,elder: They are able to kick members once every 20 minutes and invite or accept players to the Clan but are not able to change the Clan Settings.,2021-11-01
#V0QCQUCL,#8LGRYC,elder: They are able to kick members once every 20 minutes and invite or accept players to the Clan but are not able to change the Clan Settings.,2021-09-30
#2Q9JG29RL,#8LGRYC,elder: They are able to kick members once every 20 minutes and invite or accept players to the Clan but are not able to change the Clan Settings.,2021-10-21
#UPRJQQ89,#8LGRYC,elder: They are able to kick members once every 20 minutes and invite or accept players to the Clan but are not able to change the Clan Settings.,2021-08-09
#2PPRU8QU0,#8LGRYC,elder: They are able to kick members once every 20 minutes and invite or accept players to the Clan but are not able to change the Clan Settings.,2021-08-06
#LLJQJLPRJ,#8LGRYC,elder: They are able to kick members once every 20 minutes and invite or accept players to the Clan but are not able to change the Clan Settings.,2021-08-05
#GJ820UYPC,#8LGRYC,member: They cannot kick or promote nor change the Clan Settings. This is the default role when players join a clan.,2021-08-19
#PCY2PV8LG,#8LGRYC,elder: They are able to kick members once every 20 minutes and invite or accept players to the Clan but are not able to change the Clan Settings.,2021-09-18
#22U2C2PP0,#8LGRYC,elder: They are able to kick members once every 20 minutes and invite or accept players to the Clan but are not able to change the Clan Settings.,2021-08-11
#PCRRGRRCV,#8LGRYC,elder: They are able to kick members once every 20 minutes and invite or accept players to the Clan but are not able to change the Clan Settings.,2021-10-07
#22YQRCCV,#8LGRYC,elder: They are able to kick members once every 20 minutes and invite or accept players to the Clan but are not able to change the Clan Settings.,2021-09-28
#CJRGGCC8,#8LGRYC,member: They cannot kick or promote nor change the Clan Settings. This is the default role when players join a clan.,2021-08-07
#22QUQG09C,#8LGRYC,elder: They are able to kick members once every 20 minutes and invite or accept players to the Clan but are not able to change the Clan Settings.,2021-10-21
#LP098UL8L,#8LGRYC,elder: They are able to kick members once every 20 minutes and invite or accept players to the Clan but are not able to change the Clan Settings.,2021-09-16
#9LR00P2G,#8LGRYC,elder: They are able to kick members once every 20 minutes and invite or accept players to the Clan but are not able to change the Clan Settings.,2021-09-16
#PCYRRP8J2,#8LGRYC,elder: They are able to kick members once every 20 minutes and invite or accept players to the Clan but are not able to change the Clan Settings.,2021-10-15
#90VLUCGVG,#8LGRYC,elder: They are able to kick members once every 20 minutes and invite or accept players to the Clan but are not able to change the Clan Settings.,2021-09-20
#9LQJLL,#8LGRYC,elder: They are able to kick members once every 20 minutes and invite or accept players to the Clan but are not able to change the Clan Settings.,2021-09-14
#2YQ98PLCJ,#8LGRYC,elder: They are able to kick members once every 20 minutes and invite or accept players to the Clan but are not able to change the Clan Settings.,2021-08-14
#9J00RUV,#8LGRYC,elder: They are able to kick members once every 20 minutes and invite or accept players to the Clan but are not able to change the Clan Settings.,2021-08-30
#CPQPPQ28,#8LGRYC,elder: They are able to kick members once every 20 minutes and invite or accept players to the Clan but are not able to change the Clan Settings.,2021-10-03
#2QYUL0VCP,#8LGRYC,member: They cannot kick or promote nor change the Clan Settings. This is the default role when players join a clan.,2021-09-23
#UCYRJRL9,#8LGRYC,elder: They are able to kick members once every 20 minutes and invite or accept players to the Clan but are not able to change the Clan Settings.,2021-10-15
#LR9R9RUR,#8LGRYC,elder: They are able to kick members once every 20 minutes and invite or accept players to the Clan but are not able to change the Clan Settings.,2021-10-26
#YCLJUU8G,#8LGRYC,elder: They are able to kick members once every 20 minutes and invite or accept players to the Clan but are not able to change the Clan Settings.,2021-08-22
#CG2VJYP,#8LGRYC,elder: They are able to kick members once every 20 minutes and invite or accept players to the Clan but are not able to change the Clan Settings.,2021-10-24
#P82PPQPV,#8LGRYC,elder: They are able to kick members once every 20 minutes and invite or accept players to the Clan but are not able to change the Clan Settings.,2021-09-03
#9YUUVJ08G,#8LGRYC,elder: They are able to kick members once every 20 minutes and invite or accept players to the Clan but are not able to change the Clan Settings.,2021-08-04
#928922QG0,#8LGRYC,elder: They are able to kick members once every 20 minutes and invite or accept players to the Clan but are not able to change the Clan Settings.,2021-10-16
#8GRCGCCQC,#8LGRYC,elder: They are able to kick members once every 20 minutes and invite or accept players to the Clan but are not able to change the Clan Settings.,2021-09-29
#2QRYYR8C,#8LGRYC,elder: They are able to kick members once every 20 minutes and invite or accept players to the Clan but are not able to change the Clan Settings.,2021-08-30
#Y08PCY8P2,#8LGRYC,elder: They are able to kick members once every 20 minutes and invite or accept players to the Clan but are not able to change the Clan Settings.,2021-09-04
#2YVQQPQJL,#8LGRYC,member: They cannot kick or promote nor change the Clan Settings. This is the default role when players join a clan.,2021-10-08
#GVJLCYC,#8LGRYC,member: They cannot kick or promote nor change the Clan Settings. This is the default role when players join a clan.,2021-09-12
#P2RUVC9VR,#8LGRYC,coLeader: They can kick/promote/demote members and elders; Recruit/accept players; and are able to change the Clan Settings. They can also promote Elders to Co-Leaders but cannot demote Co-Leaders.,2021-11-07
#2YCJRP9Q0,#8LGRYC,elder: They are able to kick members once every 20 minutes and invite or accept players to the Clan but are not able to change the Clan Settings.,2021-11-08
#YC288PYG,#8LGRYC,elder: They are able to kick members once every 20 minutes and invite or accept players to the Clan but are not able to change the Clan Settings.,2021-10-21
#8PGU0R8JR,#8LGRYC,elder: They are able to kick members once every 20 minutes and invite or accept players to the Clan but are not able to change the Clan Settings.,2021-10-05
#LP0LQQL,#8LGRYC,elder: They are able to kick members once every 20 minutes and invite or accept players to the Clan but are not able to change the Clan Settings.,2021-09-27
#28V9Q0,#8LGRYC,elder: They are able to kick members once every 20 minutes and invite or accept players to the Clan but are not able to change the Clan Settings.,2021-09-26
#228J02890,#8LGRYC,elder: They are able to kick members once every 20 minutes and invite or accept players to the Clan but are not able to change the Clan Settings.,2021-09-15
#90YPUVL2,#8LGRYC,elder: They are able to kick members once every 20 minutes and invite or accept players to the Clan but are not able to change the Clan Settings.,2021-09-17
#Y0P8RQ89,#8LGRYC,elder: They are able to kick members once every 20 minutes and invite or accept players to the Clan but are not able to change the Clan Settings.,2021-10-19
#RC2UPGP8,#8LGRYC,leader: They have the same privileges as Co-leaders however the Leader is the only player in the Clan who can kick and demote everyone. Transferring leadership of a clan will demote the transferring player's role to Co-Leader and their desired player will take the Leader role.,2021-09-17
#8C9CR9YG,#8LGRYC,elder: They are able to kick members once every 20 minutes and invite or accept players to the Clan but are not able to change the Clan Settings.,2021-08-19
#Q0CPPQC9Q,#8LGRYC,elder: They are able to kick members once every 20 minutes and invite or accept players to the Clan but are not able to change the Clan Settings.,2021-10-02
#2QCPVQC0Y,#8LGRYC,elder: They are able to kick members once every 20 minutes and invite or accept players to the Clan but are not able to change the Clan Settings.,2021-08-30
#8QPCGVP2Y,#8LGRYC,coLeader: They can kick/promote/demote members and elders; Recruit/accept players; and are able to change the Clan Settings. They can also promote Elders to Co-Leaders but cannot demote Co-Leaders.,2021-08-03
#P88PQJ2UV,#2CQQVQCU,member: They cannot kick or promote nor change the Clan Settings. This is the default role when players join a clan.,2021-10-08
#2G9VQL8U8,#2CQQVQCU,member: They cannot kick or promote nor change the Clan Settings. This is the default role when players join a clan.,2021-08-23
#QJJP0R8L,#2CQQVQCU,member: They cannot kick or promote nor change the Clan Settings. This is the default role when players join a clan.,2021-10-31
#2GJC9PR28,#2CQQVQCU,member: They cannot kick or promote nor change the Clan Settings. This is the default role when players join a clan.,2021-09-10
#98LCG9LVP,#2CQQVQCU,member: They cannot kick or promote nor change the Clan Settings. This is the default role when players join a clan.,2021-09-10
#80992PGVV,#2CQQVQCU,member: They cannot kick or promote nor change the Clan Settings. This is the default role when players join a clan.,2021-11-07
#29YPQLJG9,#2CQQVQCU,elder: They are able to kick members once every 20 minutes and invite or accept players to the Clan but are not able to change the Clan Settings.,2021-09-29
#PCRRR2VV,#2CQQVQCU,member: They cannot kick or promote nor change the Clan Settings. This is the default role when players join a clan.,2021-09-06
#22Y9CGYGQ,#2CQQVQCU,coLeader: They can kick/promote/demote members and elders; Recruit/accept players; and are able to change the Clan Settings. They can also promote Elders to Co-Leaders but cannot demote Co-Leaders.,2021-09-17
#8QRQ0JLRY,#2CQQVQCU,member: They cannot kick or promote nor change the Clan Settings. This is the default role when players join a clan.,2021-10-21
#8PYGPYJPR,#2CQQVQCU,member: They cannot kick or promote nor change the Clan Settings. This is the default role when players join a clan.,2021-10-16
#UGRV2UJG,#2CQQVQCU,member: They cannot kick or promote nor change the Clan Settings. This is the default role when players join a clan.,2021-08-24
#GPQ2UG2Q,#2CQQVQCU,member: They cannot kick or promote nor change the Clan Settings. This is the default role when players join a clan.,2021-08-10
#JPCRVGLY,#2CQQVQCU,member: They cannot kick or promote nor change the Clan Settings. This is the default role when players join a clan.,2021-08-05
#88C9PLVYL,#2CQQVQCU,member: They cannot kick or promote nor change the Clan Settings. This is the default role when players join a clan.,2021-09-10
