player,clan,gold,date
#QV2PYL,#8LGRYC,15,2021-09-18
#QV2PYL,#8LGRYC,50,2021-08-10
#QV2PYL,#8LGRYC,25,2021-10-24
#QV2PYL,#8LGRYC,30,2021-09-18
#9Q8UCU0Q0,#8LGRYC,15,2021-10-03
#8C8QJR9JG,#8LGRYC,50,2021-09-24
#8C8QJR9JG,#8LGRYC,35,2021-08-23
#8C8QJR9JG,#8LGRYC,35,2021-10-20
#8C8QJR9JG,#8LGRYC,45,2021-08-24
#V0QCQUCL,#8LGRYC,20,2021-11-04
#V0QCQUCL,#8LGRYC,40,2021-09-27
#V0QCQUCL,#8LGRYC,35,2021-11-10
#V0QCQUCL,#8LGRYC,45,2021-10-23
#V0QCQUCL,#8LGRYC,30,2021-09-07
#V0QCQUCL,#8LGRYC,35,2021-08-27
#V0QCQUCL,#8LGRYC,40,2021-09-14
#2Q9JG29RL,#8LGRYC,30,2021-10-27
#2Q9JG29RL,#8LGRYC,50,2021-10-25
#2Q9JG29RL,#8LGRYC,25,2021-09-01
#2Q9JG29RL,#8LGRYC,40,2021-11-07
#2Q9JG29RL,#8LGRYC,20,2021-08-12
#2Q9JG29RL,#8LGRYC,35,2021-10-06
#2Q9JG29RL,#8LGRYC,25,2021-10-27
#2Q9JG29RL,#8LGRYC,20,2021-08-09
#2Q9JG29RL,#8LGRYC,20,2021-10-03
#2Q9JG29RL,#8LGRYC,15,2021-08-16
#UPRJQQ89,#8LGRYC,40,2021-09-07
#UPRJQQ89,#8LGRYC,30,2021-09-16
#UPRJQQ89,#8LGRYC,50,2021-11-11
#UPRJQQ89,#8LGRYC,25,2021-08-23
#UPRJQQ89,#8LGRYC,15,2021-11-11
#UPRJQQ89,#8LGRYC,45,2021-09-21
#UPRJQQ89,#8LGRYC,50,2021-10-20
#UPRJQQ89,#8LGRYC,35,2021-09-04
#2PPRU8QU0,#8LGRYC,45,2021-09-08
#2PPRU8QU0,#8LGRYC,50,2021-09-23
#2PPRU8QU0,#8LGRYC,45,2021-10-29
#2PPRU8QU0,#8LGRYC,30,2021-10-30
#LLJQJLPRJ,#8LGRYC,25,2021-10-22
#LLJQJLPRJ,#8LGRYC,25,2021-09-23
#LLJQJLPRJ,#8LGRYC,25,2021-10-16
#LLJQJLPRJ,#8LGRYC,30,2021-09-23
#LLJQJLPRJ,#8LGRYC,40,2021-10-28
#LLJQJLPRJ,#8LGRYC,25,2021-08-14
#LLJQJLPRJ,#8LGRYC,35,2021-10-26
#LLJQJLPRJ,#8LGRYC,15,2021-09-24
#LLJQJLPRJ,#8LGRYC,30,2021-09-24
#GJ820UYPC,#8LGRYC,15,2021-08-07
#GJ820UYPC,#8LGRYC,45,2021-08-22
#GJ820UYPC,#8LGRYC,50,2021-09-23
#GJ820UYPC,#8LGRYC,35,2021-09-01
#GJ820UYPC,#8LGRYC,15,2021-09-26
#GJ820UYPC,#8LGRYC,20,2021-08-06
#PCY2PV8LG,#8LGRYC,35,2021-08-06
#PCY2PV8LG,#8LGRYC,55,2021-09-11
#PCY2PV8LG,#8LGRYC,40,2021-09-12
#PCY2PV8LG,#8LGRYC,35,2021-10-04
#PCY2PV8LG,#8LGRYC,50,2021-08-09
#PCY2PV8LG,#8LGRYC,50,2021-09-06
#PCY2PV8LG,#8LGRYC,45,2021-08-07
#22U2C2PP0,#8LGRYC,25,2021-10-19
#22U2C2PP0,#8LGRYC,45,2021-08-06
#22U2C2PP0,#8LGRYC,30,2021-08-03
#PCRRGRRCV,#8LGRYC,55,2021-11-03
#PCRRGRRCV,#8LGRYC,20,2021-08-28
#PCRRGRRCV,#8LGRYC,30,2021-08-09
#PCRRGRRCV,#8LGRYC,20,2021-10-14
#PCRRGRRCV,#8LGRYC,30,2021-09-23
#22YQRCCV,#8LGRYC,30,2021-09-12
#CJRGGCC8,#8LGRYC,20,2021-10-29
#CJRGGCC8,#8LGRYC,55,2021-11-05
#22QUQG09C,#8LGRYC,30,2021-10-19
#22QUQG09C,#8LGRYC,50,2021-08-23
#22QUQG09C,#8LGRYC,15,2021-09-30
#22QUQG09C,#8LGRYC,55,2021-08-05
