player_tag,quest_id,quest_title,quest_description,quest_requirement,quest_depends,unlock
#2J00PG8U2,110,Vincents,Leathard,Donate 618 gold,10,2021-09-17
#PC99QUQ,14,Jeane,Jarrard,Donate 416 gems,,2020-11-02
#2RUJ929U0,119,Pauly,Gilgryst,Donate 149 gold,200,2019-08-22
#22GYRRYLJ,54,Ernestine,Perrott,Donate 1389 gems,,2020-12-25
#9QYRCPJP2,116,Dionysus,Charity,Donate 549 gems,,2021-04-26
#80U90RGV,104,Ansel,Hammant,Donate 37 gems,46,2020-06-24
#2P0PQCVPC,44,Nixie,Beevis,Donate 505 gems,60,2020-02-09
#8J2PRR9Y,121,Shir,Shipman,Donate 80 gems,,2019-12-28
#L98JYVL,63,Jed,Lanham,Donate 1119 gems,,2019-01-02
#2JUP20J9,141,Cecile,Gammell,Donate 183 gems,192,2020-05-22
#C00Y8QJ8,54,Ernestine,Perrott,Donate 1389 gems,,2020-02-22
#YP2YJJJ2,157,Romain,Bater,Donate 1470 gems,,2020-06-08
#YCLCY0R,71,Asa,Birkenshaw,Donate 97 gems,,2020-03-26
#9Q90P0Y0,38,Roma,Grubey,Donate 720 gems,,2020-08-28
#92YQYU0L2,194,Patty,Driutti,Donate 1410 gold,41,2019-07-23
#90YPUVL2,103,Hanna,Deares,Donate 988 gems,,2018-12-18
#2UGR22RCP,58,Rriocard,Charity,Donate 291 gold,,2020-08-20
#98CP90GJ9,2,Elmo,Feitosa,Donate 645 gold,,2021-11-01
#8PGU0R8JR,38,Roma,Grubey,Donate 720 gems,,2020-05-27
#R9U2J8CR,172,Kelvin,Guilbert,Donate 758 gold,,2020-04-08
#2JJGRPVPL,183,Margarethe,Byas,Donate 1439 gold,162,2020-09-03
#PLLC2VG,101,Frank,Syfax,Donate 424 gems,46,2021-01-15
#90UJPLCQQ,191,Regan,Clues,Donate 762 gold,,2019-01-16
#82G9G90Y9,91,Xena,Weson,Donate 400 gold,133,2021-07-07
#2V2PUPJ0,180,Meier,Ashfull,Donate 594 gems,82,2020-10-20
#2PJ988U2,99,Camila,Jamblin,Donate 1281 gems,157,2020-03-27
#P0RR0VQLC,114,Miran,Spillett,Donate 1317 gems,,2020-01-20
#UJVJJ0LU,74,Frasco,Cockren,Donate 41 gems,,2019-05-16
#P88L0ULQ,28,Templeton,Baiden,Donate 1486 gems,,2019-03-25
#LVRUV8YV,132,Clarita,Morgen,Donate 535 gems,,2019-09-20
#8UYC22989,173,Valaree,Caesmans,Donate 1391 gems,,2021-05-22
#2L88CU2V,106,Avram,Thraves,Donate 557 gold,,2020-07-29
#2PY2228U9,185,Briano,Pamplin,Donate 823 gold,116,2021-09-12
#P29CCURC,131,Zared,Kleinplatz,Donate 931 gold,,2018-12-18
#28PQ9GJG9,149,Dorelle,Joontjes,Donate 129 gems,,2020-10-24
#9V20UYCRU,118,Neil,Kobpac,Donate 275 gems,,2019-05-16
#8C9RQYV2J,32,Abra,Dreng,Donate 1217 gems,79,2019-03-09
#90VRUJLY,184,Shantee,Turri,Donate 326 gems,,2020-08-06
#VUUVPJUY,68,Maudie,Almond,Donate 75 gems,,2019-05-21
#L2R22CP,161,Birgitta,Tippin,Donate 1435 gold,,2021-01-08
#VPP9CQV,65,Royall,Peacher,Donate 397 gold,,2019-03-14
#YVJQQLPPR,94,Ali,Cooke,Donate 1334 gold,62,2021-07-25
#UQJ9LUP,146,Addie,Murphey,Donate 929 gems,,2021-04-25
#2LY2GGVR,13,Shelagh,Balentyne,Donate 491 gems,,2019-05-18
#PYGV2CRLJ,70,Madelena,Jeffree,Donate 431 gems,148,2019-04-24
#2RUL98URQ,130,Elmo,Gluyas,Donate 107 gems,150,2021-04-05
#80V0JULJ,156,Shel,Twiggs,Donate 879 gems,,2018-12-16
#PCY2PV8LG,117,Carlee,Blasetti,Donate 557 gems,,2019-03-04
#22UCVR0CL,108,Margarita,Fraczak,Donate 1250 gold,,2020-06-14
#2JJ9Y9GLQ,123,Theo,Wolfers,Donate 210 gems,,2021-09-12
#828JLGVYC,167,Annabella,Chinnick,Donate 855 gems,86,2020-03-20
#2PJQ0U9U,128,Letisha,Vaney,Donate 1377 gold,,2019-08-28
#P9L2UGPR,172,Kelvin,Guilbert,Donate 758 gold,,2019-11-17
#92V2VRCVQ,51,Tate,Sauvage,Donate 581 gems,94,2019-10-30
#9CRJ0YUVL,9,Sharyl,Gimert,Donate 863 gold,,2021-06-21
#82VJQ22VQ,104,Ansel,Hammant,Donate 37 gems,46,2020-02-18
#UR8L82JQ,33,Roma,Zecchinelli,Donate 336 gems,198,2020-08-29
#28YC8C2R,156,Shel,Twiggs,Donate 879 gems,,2021-07-26
#YYJUJUQG,33,Roma,Zecchinelli,Donate 336 gems,198,2021-04-19
#QQVYGQ0Y,131,Zared,Kleinplatz,Donate 931 gold,,2021-04-08
#29UJ9Q99,66,Trace,Listone,Donate 673 gems,115,2019-03-03
#9JCVUYP,148,Rollie,Rose,Donate 640 gems,,2021-03-25
#28Q0YRYU9,94,Ali,Cooke,Donate 1334 gold,62,2021-08-10
