player,name,description,arena,date,gems
#QV2PYL,Team Player,Join a Clan,54000024,2020-07-18,48
#QV2PYL,Friend in Need,Donate 2500 cards,54000025,2021-11-06,235
#QV2PYL,Road to Glory,Reach Arena 6,54000010,2021-11-02,210
#QV2PYL,Gatherer,Collect 40 cards,54000011,2020-09-30,163
#QV2PYL,TV Royale,Watch a TV Royale Replay,54000043,2020-04-30,100
#QV2PYL,Tournament Rewards,Win 20000 cards from tournaments,54000050,2021-08-04,208
#QV2PYL,Tournament Host,Create and finish one tournament,54000002,2020-09-26,123
#QV2PYL,Tournament Player,Join a tournament,54000010,2020-11-24,254
#QV2PYL,Challenge Streak,Get 12 wins in a single Challenge,54000040,2020-05-20,145
#QV2PYL,Practice with Friends,Win 10 Friendly Battles,54000021,2020-03-27,238
#QV2PYL,Special Challenge,Participate in 5 unique Special Event Challenges,54000055,2020-07-09,42
#QV2PYL,Friend in Need II,Donate 25000 cards,54000028,2020-06-30,191
#9Q8UCU0Q0,Team Player,Join a Clan,54000013,2020-06-02,48
#9Q8UCU0Q0,Friend in Need,Donate 2500 cards,54000008,2021-05-26,235
#9Q8UCU0Q0,Road to Glory,Reach Arena 6,54000048,2020-04-16,210
#9Q8UCU0Q0,Gatherer,Collect 40 cards,54000039,2021-07-03,163
#9Q8UCU0Q0,TV Royale,Watch a TV Royale Replay,54000012,2020-06-15,100
#9Q8UCU0Q0,Tournament Rewards,Win 1000 cards from tournaments,54000016,2020-05-11,208
#9Q8UCU0Q0,Tournament Host,Create and finish 10 tournaments,54000013,2020-08-03,123
#9Q8UCU0Q0,Tournament Player,Join a tournament,54000036,2020-10-28,254
#9Q8UCU0Q0,Challenge Streak,Get 12 wins in a single Challenge,54000009,2021-09-26,145
#9Q8UCU0Q0,Practice with Friends,Win 10 Friendly Battles,54000014,2021-03-24,238
#9Q8UCU0Q0,Special Challenge,Participate in 5 unique Special Event Challenges,54000026,2021-09-12,42
#9Q8UCU0Q0,Friend in Need II,Donate 10000 cards,54000035,2021-08-09,191
#8C8QJR9JG,Team Player,Join a Clan,54000006,2020-04-13,48
#8C8QJR9JG,Friend in Need,Donate 2500 cards,54000003,2020-06-01,235
#8C8QJR9JG,Road to Glory,Reach Arena 6,54000040,2021-01-19,210
#8C8QJR9JG,Gatherer,Collect 40 cards,54000036,2021-10-21,163
#8C8QJR9JG,TV Royale,Watch a TV Royale Replay,54000040,2021-07-15,100
#8C8QJR9JG,Tournament Rewards,Win 1000 cards from tournaments,54000054,2020-09-19,208
#8C8QJR9JG,Tournament Host,Create and finish one tournament,54000006,2021-10-11,123
#8C8QJR9JG,Tournament Player,Join a tournament,54000002,2021-09-26,254
#8C8QJR9JG,Challenge Streak,Get 12 wins in a single Challenge,54000018,2020-05-09,145
#8C8QJR9JG,Practice with Friends,Win 10 Friendly Battles,54000043,2021-08-15,238
#8C8QJR9JG,Special Challenge,Participate in 5 unique Special Event Challenges,54000041,2021-07-03,42
#8C8QJR9JG,Friend in Need II,Donate 25000 cards,54000042,2020-06-15,191
#V0QCQUCL,Team Player,Join a Clan,54000007,2021-02-04,48
#V0QCQUCL,Friend in Need,Donate 2500 cards,54000019,2021-01-06,235
#V0QCQUCL,Road to Glory,Reach Arena 6,54000039,2021-07-15,210
#V0QCQUCL,Gatherer,Collect 40 cards,54000044,2021-09-20,163
#V0QCQUCL,TV Royale,Watch a TV Royale Replay,54000058,2021-05-27,100
#V0QCQUCL,Tournament Rewards,Win 1000 cards from tournaments,54000036,2020-12-10,208
#V0QCQUCL,Tournament Host,Create and finish one tournament,54000044,2021-07-31,123
#V0QCQUCL,Tournament Player,Join a tournament,54000023,2021-05-22,254
#V0QCQUCL,Challenge Streak,Get 12 wins in a single Challenge,54000043,2021-06-20,145
#V0QCQUCL,Practice with Friends,Win 10 Friendly Battles,54000042,2021-02-24,238
#V0QCQUCL,Special Challenge,Participate in 5 unique Special Event Challenges,54000020,2021-04-17,42
#V0QCQUCL,Friend in Need II,Donate 25000 cards,54000055,2021-05-03,191
#2Q9JG29RL,Team Player,Join a Clan,54000051,2021-02-02,48
#2Q9JG29RL,Friend in Need,Donate 2500 cards,54000034,2020-11-22,235
#2Q9JG29RL,Road to Glory,Reach Arena 6,54000031,2021-02-19,210
#2Q9JG29RL,Gatherer,Collect 40 cards,54000021,2021-07-29,163
#2Q9JG29RL,TV Royale,Watch a TV Royale Replay,54000029,2020-08-31,100
#2Q9JG29RL,Tournament Rewards,Win 1000 cards from tournaments,54000036,2021-01-25,208
#2Q9JG29RL,Tournament Host,Create and finish one tournament,54000017,2020-12-10,123
#2Q9JG29RL,Tournament Player,Join a tournament,54000044,2020-04-27,254
#2Q9JG29RL,Challenge Streak,Get 12 wins in a single Challenge,54000048,2021-01-09,145
#2Q9JG29RL,Practice with Friends,Win 10 Friendly Battles,54000018,2020-03-23,238
