player,name,arena,date,img
#QV2PYL,Classic12Wins,54000027,2021-01-12,img/dicta.png
#QV2PYL,Grand12Wins,54000048,2021-09-02,img/molestiae.png
#QV2PYL,1000Wins,54000018,2020-04-29,img/deleniti.png
#QV2PYL,Played1Year,54000004,2020-12-21,img/blanditiis.png
#QV2PYL,Played2Years,54000027,2020-07-01,img/consequuntur.png
#QV2PYL,Played3Years,54000032,2020-07-31,img/vitae.png
#QV2PYL,LadderTournamentTop1000_1,54000049,2021-01-06,img/consectetur.png
#QV2PYL,LadderTournamentTop1000_2,54000008,2020-12-22,img/aut.png
#QV2PYL,LadderTournamentTop1000_3,54000050,2021-03-23,img/explicabo.png
#QV2PYL,LadderTop1000_1,54000018,2021-08-06,img/quia.png
#QV2PYL,LadderTop1000_2,54000017,2020-11-29,img/ut.png
#QV2PYL,LadderTop1000_3,54000032,2020-07-14,img/doloribus.png
#QV2PYL,TopLeague,54000026,2020-05-30,img/autem.png
#QV2PYL,ClanWarWins,54000053,2021-09-15,img/doloremque.png
#QV2PYL,Played4Years,54000047,2020-04-13,img/quia.png
#QV2PYL,Played5Years,54000035,2020-07-23,img/et.png
#9Q8UCU0Q0,Grand12Wins,54000021,2020-07-02,img/molestiae.png
#9Q8UCU0Q0,1000Wins,54000022,2020-09-12,img/deleniti.png
#9Q8UCU0Q0,Played1Year,54000051,2021-08-03,img/blanditiis.png
#9Q8UCU0Q0,Played2Years,54000017,2020-04-14,img/consequuntur.png
#9Q8UCU0Q0,Played3Years,54000011,2020-09-06,img/vitae.png
#9Q8UCU0Q0,LadderTournamentTop1000_1,54000015,2021-07-03,img/consectetur.png
#9Q8UCU0Q0,LadderTournamentTop1000_2,54000011,2020-11-12,img/aut.png
#9Q8UCU0Q0,LadderTournamentTop1000_3,54000043,2021-02-09,img/explicabo.png
#9Q8UCU0Q0,LadderTop1000_1,54000018,2020-06-23,img/quia.png
#9Q8UCU0Q0,LadderTop1000_2,54000048,2020-09-26,img/ut.png
#9Q8UCU0Q0,LadderTop1000_3,54000053,2021-02-16,img/doloribus.png
#9Q8UCU0Q0,TopLeague,54000044,2021-08-25,img/autem.png
#9Q8UCU0Q0,ClanWarWins,54000051,2020-05-07,img/doloremque.png
#8C8QJR9JG,Classic12Wins,54000001,2020-04-21,img/dicta.png
#8C8QJR9JG,Grand12Wins,54000056,2021-05-17,img/molestiae.png
#8C8QJR9JG,Crl20Wins,54000009,2021-04-10,img/qui.png
#8C8QJR9JG,1000Wins,54000055,2020-09-21,img/deleniti.png
