player,deck,title,description,date,card,level
#QV2PYL,101,Comunidad de Madrid black cats,God created Arrakis to train the faithful.,2021-10-23,26000067,11
#QV2PYL,101,Comunidad de Madrid black cats,God created Arrakis to train the faithful.,2021-10-23,26000083,6
#QV2PYL,101,Comunidad de Madrid black cats,God created Arrakis to train the faithful.,2021-10-23,27000003,11
#QV2PYL,101,Comunidad de Madrid black cats,God created Arrakis to train the faithful.,2021-10-23,28000008,13
#QV2PYL,101,Comunidad de Madrid black cats,God created Arrakis to train the faithful.,2021-10-23,28000013,8
#QV2PYL,101,Comunidad de Madrid black cats,God created Arrakis to train the faithful.,2021-10-23,26000061,4
#QV2PYL,101,Comunidad de Madrid black cats,God created Arrakis to train the faithful.,2021-10-23,26000043,13
#QV2PYL,101,Comunidad de Madrid black cats,God created Arrakis to train the faithful.,2021-10-23,26000033,4
#QV2PYL,102,Andalucía dogs,Be prepared to appreciate what you meet.,2021-09-13,28000014,11
#QV2PYL,102,Andalucía dogs,Be prepared to appreciate what you meet.,2021-09-13,26000049,14
#QV2PYL,102,Andalucía dogs,Be prepared to appreciate what you meet.,2021-09-13,26000052,12
#QV2PYL,102,Andalucía dogs,Be prepared to appreciate what you meet.,2021-09-13,28000017,13
#QV2PYL,102,Andalucía dogs,Be prepared to appreciate what you meet.,2021-09-13,26000080,13
#QV2PYL,102,Andalucía dogs,Be prepared to appreciate what you meet.,2021-09-13,26000050,5
#QV2PYL,102,Andalucía dogs,Be prepared to appreciate what you meet.,2021-09-13,26000032,5
#QV2PYL,102,Andalucía dogs,Be prepared to appreciate what you meet.,2021-09-13,26000083,6
#9Q8UCU0Q0,103,Región de Murcia oracles,Humans must never submit to animals.,2021-09-29,28000017,11
#9Q8UCU0Q0,103,Región de Murcia oracles,Humans must never submit to animals.,2021-09-29,26000047,14
#9Q8UCU0Q0,103,Región de Murcia oracles,Humans must never submit to animals.,2021-09-29,26000021,11
#9Q8UCU0Q0,103,Región de Murcia oracles,Humans must never submit to animals.,2021-09-29,26000049,13
#9Q8UCU0Q0,103,Región de Murcia oracles,Humans must never submit to animals.,2021-09-29,26000005,11
#9Q8UCU0Q0,103,Región de Murcia oracles,Humans must never submit to animals.,2021-09-29,26000002,10
#9Q8UCU0Q0,103,Región de Murcia oracles,Humans must never submit to animals.,2021-09-29,26000046,5
#9Q8UCU0Q0,103,Región de Murcia oracles,Humans must never submit to animals.,2021-09-29,26000064,13
#9Q8UCU0Q0,104,Cantabria fishes,Truth suffers from too much analysis.,2021-11-06,26000034,6
#9Q8UCU0Q0,104,Cantabria fishes,Truth suffers from too much analysis.,2021-11-06,26000040,9
#9Q8UCU0Q0,104,Cantabria fishes,Truth suffers from too much analysis.,2021-11-06,26000046,5
#9Q8UCU0Q0,104,Cantabria fishes,Truth suffers from too much analysis.,2021-11-06,26000061,5
#9Q8UCU0Q0,104,Cantabria fishes,Truth suffers from too much analysis.,2021-11-06,26000011,11
#9Q8UCU0Q0,104,Cantabria fishes,Truth suffers from too much analysis.,2021-11-06,28000018,10
#9Q8UCU0Q0,104,Cantabria fishes,Truth suffers from too much analysis.,2021-11-06,28000005,5
#9Q8UCU0Q0,104,Cantabria fishes,Truth suffers from too much analysis.,2021-11-06,26000031,13
#8C8QJR9JG,105,Extremadura whales,"Humans live best when each has his place to stand, when each knows where he belongs in the scheme of things and what he may achieve. Destroy the place and you destroy the person.",2021-10-10,26000020,8
#8C8QJR9JG,105,Extremadura whales,"Humans live best when each has his place to stand, when each knows where he belongs in the scheme of things and what he may achieve. Destroy the place and you destroy the person.",2021-10-10,28000000,12
#8C8QJR9JG,105,Extremadura whales,"Humans live best when each has his place to stand, when each knows where he belongs in the scheme of things and what he may achieve. Destroy the place and you destroy the person.",2021-10-10,26000051,3
#8C8QJR9JG,105,Extremadura whales,"Humans live best when each has his place to stand, when each knows where he belongs in the scheme of things and what he may achieve. Destroy the place and you destroy the person.",2021-10-10,26000037,5
#8C8QJR9JG,105,Extremadura whales,"Humans live best when each has his place to stand, when each knows where he belongs in the scheme of things and what he may achieve. Destroy the place and you destroy the person.",2021-10-10,26000006,8
#8C8QJR9JG,105,Extremadura whales,"Humans live best when each has his place to stand, when each knows where he belongs in the scheme of things and what he may achieve. Destroy the place and you destroy the person.",2021-10-10,26000000,14
#8C8QJR9JG,105,Extremadura whales,"Humans live best when each has his place to stand, when each knows where he belongs in the scheme of things and what he may achieve. Destroy the place and you destroy the person.",2021-10-10,26000048,5
#8C8QJR9JG,105,Extremadura whales,"Humans live best when each has his place to stand, when each knows where he belongs in the scheme of things and what he may achieve. Destroy the place and you destroy the person.",2021-10-10,26000084,14
#V0QCQUCL,106,Región de Murcia griffins,"A man's flesh is his own; the water belongs to the tribe.",2021-08-30,26000007,8
#V0QCQUCL,106,Región de Murcia griffins,"A man's flesh is his own; the water belongs to the tribe.",2021-08-30,26000020,8
#V0QCQUCL,106,Región de Murcia griffins,"A man's flesh is his own; the water belongs to the tribe.",2021-08-30,27000004,11
#V0QCQUCL,106,Región de Murcia griffins,"A man's flesh is his own; the water belongs to the tribe.",2021-08-30,26000069,3
#V0QCQUCL,106,Región de Murcia griffins,"A man's flesh is his own; the water belongs to the tribe.",2021-08-30,26000042,6
#V0QCQUCL,106,Región de Murcia griffins,"A man's flesh is his own; the water belongs to the tribe.",2021-08-30,26000033,5
#V0QCQUCL,106,Región de Murcia griffins,"A man's flesh is his own; the water belongs to the tribe.",2021-08-30,26000015,8
#V0QCQUCL,106,Región de Murcia griffins,"A man's flesh is his own; the water belongs to the tribe.",2021-08-30,27000007,11
#V0QCQUCL,107,País Vasco fishes,The wise animal blends into its surroundings.,2021-11-03,28000000,12
#V0QCQUCL,107,País Vasco fishes,The wise animal blends into its surroundings.,2021-11-03,28000011,6
#V0QCQUCL,107,País Vasco fishes,The wise animal blends into its surroundings.,2021-11-03,26000015,8
#V0QCQUCL,107,País Vasco fishes,The wise animal blends into its surroundings.,2021-11-03,26000027,8
#V0QCQUCL,107,País Vasco fishes,The wise animal blends into its surroundings.,2021-11-03,26000004,9
#V0QCQUCL,107,País Vasco fishes,The wise animal blends into its surroundings.,2021-11-03,26000039,11
#V0QCQUCL,107,País Vasco fishes,The wise animal blends into its surroundings.,2021-11-03,26000003,11
#V0QCQUCL,107,País Vasco fishes,The wise animal blends into its surroundings.,2021-11-03,26000074,4
#V0QCQUCL,108,Comunidad de Madrid frogs,"Memory never recaptures reality. Memory reconstructs reality. Reconstructions change the original, becoming external frames of reference that inevitably fail.",2021-11-10,26000068,11
#V0QCQUCL,108,Comunidad de Madrid frogs,"Memory never recaptures reality. Memory reconstructs reality. Reconstructions change the original, becoming external frames of reference that inevitably fail.",2021-11-10,28000016,11
#V0QCQUCL,108,Comunidad de Madrid frogs,"Memory never recaptures reality. Memory reconstructs reality. Reconstructions change the original, becoming external frames of reference that inevitably fail.",2021-11-10,26000022,13
#V0QCQUCL,108,Comunidad de Madrid frogs,"Memory never recaptures reality. Memory reconstructs reality. Reconstructions change the original, becoming external frames of reference that inevitably fail.",2021-11-10,27000007,11
#V0QCQUCL,108,Comunidad de Madrid frogs,"Memory never recaptures reality. Memory reconstructs reality. Reconstructions change the original, becoming external frames of reference that inevitably fail.",2021-11-10,26000084,14
#V0QCQUCL,108,Comunidad de Madrid frogs,"Memory never recaptures reality. Memory reconstructs reality. Reconstructions change the original, becoming external frames of reference that inevitably fail.",2021-11-10,27000010,12
#V0QCQUCL,108,Comunidad de Madrid frogs,"Memory never recaptures reality. Memory reconstructs reality. Reconstructions change the original, becoming external frames of reference that inevitably fail.",2021-11-10,26000040,11
#V0QCQUCL,108,Comunidad de Madrid frogs,"Memory never recaptures reality. Memory reconstructs reality. Reconstructions change the original, becoming external frames of reference that inevitably fail.",2021-11-10,26000047,14
#2Q9JG29RL,109,Región de Murcia bees,He shall know your ways as if born to them.,2021-09-08,28000009,8
#2Q9JG29RL,109,Región de Murcia bees,He shall know your ways as if born to them.,2021-09-08,28000004,4
