quest_id,arena_id,gold,experience
1,54000000,117,143671
1,54000001,242,145267
1,54000002,19,86093
1,54000003,208,169228
1,54000004,58,185602
1,54000005,56,175910
1,54000006,75,211120
1,54000007,122,298265
1,54000008,45,221740
1,54000009,216,202945
1,54000010,54,7432
1,54000011,18,28878
1,54000012,149,218049
1,54000013,6,82056
1,54000014,138,269190
1,54000015,85,279965
1,54000016,137,108838
1,54000017,227,283209
1,54000018,182,41492
1,54000019,208,206209
1,54000020,51,186650
1,54000021,204,78428
1,54000022,237,10903
1,54000023,214,219134
1,54000024,36,40183
1,54000025,169,255330
1,54000026,142,107277
1,54000027,155,170851
1,54000028,172,207407
1,54000029,36,274151
1,54000030,142,106542
1,54000031,72,293001
1,54000032,211,146929
1,54000033,69,290081
1,54000034,31,193229
1,54000035,197,52434
1,54000036,111,267427
1,54000037,71,204688
1,54000038,220,71638
1,54000039,92,119404
1,54000040,23,10343
1,54000041,56,39102
1,54000042,191,227631
1,54000043,58,252334
1,54000044,7,151704
1,54000045,90,256318
1,54000046,228,211480
1,54000047,109,208184
1,54000048,255,140491
1,54000049,248,291663
1,54000050,165,64877
1,54000051,195,220532
1,54000052,235,124529
1,54000053,227,221272
1,54000054,209,279200
1,54000055,175,21017
1,54000056,186,148113
1,54000057,164,142347
1,54000058,251,235489
2,54000000,64,120068
2,54000001,38,252976
2,54000002,223,20099
2,54000003,141,131064
2,54000004,219,115550
2,54000005,65,272522
2,54000006,113,118087
2,54000007,25,98791
2,54000008,130,35963
2,54000009,134,16375
2,54000010,60,91207
2,54000011,172,258698
2,54000012,42,250135
2,54000013,245,57801
2,54000014,179,188956
2,54000015,57,148312
2,54000016,172,19960
2,54000017,16,154954
2,54000018,190,78793
2,54000019,11,3585
2,54000020,184,26577
2,54000021,251,218432
2,54000022,169,124030
2,54000023,39,226767
2,54000024,94,293690
2,54000025,228,274187
2,54000026,132,108113
2,54000027,198,130087
2,54000028,137,23642
2,54000029,189,91971
2,54000030,96,138437
2,54000031,191,58855
2,54000032,13,54111
2,54000033,236,263388
2,54000034,185,997
2,54000035,121,236871
2,54000036,224,77026
2,54000037,229,283747
2,54000038,96,216486
2,54000039,53,73498
2,54000040,62,245670
2,54000041,219,208927
2,54000042,48,153578
2,54000043,230,237387
2,54000044,158,243736
2,54000045,159,133587
2,54000046,245,18938
2,54000047,121,92642
2,54000048,148,139565
2,54000049,111,65944
2,54000050,227,163433
2,54000051,124,134879
2,54000052,206,155976
2,54000053,25,242565
2,54000054,57,215605
2,54000055,68,151003
2,54000056,229,138963
2,54000057,248,174281
2,54000058,164,175559
3,54000000,84,80747
3,54000001,153,105955
3,54000002,116,262412
3,54000003,73,293167
3,54000004,133,32990
3,54000005,196,225078
3,54000006,145,113651
3,54000007,116,86922
3,54000008,156,196156
3,54000009,82,139317
3,54000010,158,225531
3,54000011,50,104862
3,54000012,82,102214
3,54000013,47,239380
3,54000014,146,256411
3,54000015,78,57306
3,54000016,147,9530
3,54000017,72,231663
3,54000018,215,61956
3,54000019,146,37401
3,54000020,137,262318
3,54000021,87,242317
3,54000022,32,67330
3,54000023,88,193533
3,54000024,123,60594
3,54000025,140,129310
3,54000026,211,237497
3,54000027,243,16181
3,54000028,193,21072
3,54000029,178,152926
3,54000030,239,256234
3,54000031,199,107321
3,54000032,54,116365
3,54000033,236,115857
3,54000034,183,188654
3,54000035,84,57162
3,54000036,70,285479
3,54000037,194,147783
3,54000038,148,21911
3,54000039,243,77685
3,54000040,105,44406
3,54000041,181,69687
3,54000042,93,91987
3,54000043,119,237102
3,54000044,52,287181
3,54000045,76,116421
3,54000046,247,149418
3,54000047,93,5239
3,54000048,89,141271
3,54000049,21,195645
3,54000050,173,152669
3,54000051,222,299640
3,54000052,236,138556
3,54000053,230,299159
3,54000054,197,163047
3,54000055,161,16678
3,54000056,227,25275
3,54000057,43,99507
3,54000058,244,228189
4,54000000,138,101950
4,54000001,123,276975
4,54000002,23,220508
4,54000003,253,284175
4,54000004,165,252392
4,54000005,61,162285
4,54000006,7,186887
4,54000007,117,77286
4,54000008,239,249942
4,54000009,177,210498
4,54000010,109,24274
4,54000011,230,52550
4,54000012,111,160580
4,54000013,105,213846
4,54000014,76,11495
4,54000015,179,42859
4,54000016,170,57879
4,54000017,245,256749
4,54000018,74,32664
4,54000019,21,60557
4,54000020,125,12896
4,54000021,125,77922
4,54000022,32,108802
4,54000023,34,17086
4,54000024,237,224088
4,54000025,37,203051
4,54000026,74,6252
4,54000027,83,293288
4,54000028,138,94243
4,54000029,55,175386
4,54000030,150,138439
4,54000031,73,70161
4,54000032,180,27503
4,54000033,250,17592
4,54000034,126,156365
4,54000035,124,114840
4,54000036,11,159411
4,54000037,111,176138
4,54000038,214,40259
4,54000039,121,240247
4,54000040,46,265970
4,54000041,207,250702
